acetylene;乙炔
acid;酸
air_mails;航空邮件
aircft_tires;飞机轮胎
aircond;空调设备
almond;杏仁
ammunition;弹药
apples;苹果
apples_c;苹果
arsenic;砷
asph_miller;沥青铣刨机惠特根808
atl_cod_flt;大西洋鳕鱼片
backfl_prev;止回阀
barley;大麦
basil;丁香
beans;豆子
beef_meat;牛肉
beverages;饮料
beverages_c;饮料
big_bag_seed;大袋装种子
boiler_parts;锅炉零件
boric_acid;硼酸
bottle_water;瓶装水
brake_fluid;制动液
brake_pads;刹车片
bricks;砖
cable_reel;工业电缆盘
can_sardines;罐装沙丁鱼
canned_beans;罐装豆子
canned_beef;罐装牛肉
canned_pork;罐装猪肉
canned_tuna;罐装金枪鱼
car_balt1;轿车
car_balt2;轿车
car_it;轿车
carb_water;苏打水
carbn_pwdr_c;炭黑粉
carrots;胡萝卜
carrots_c;胡萝卜
cars_fr;轿车
cat_785c;矿用自卸车车体
cauliflower;菜花
caviar;鱼子酱
cement;水泥
cheese;奶酪
chem_sorb_c;化学吸附剂
chem_sorbent;化学吸附剂
chemicals;化学品
chewing_gums;口香糖
chicken_meat;鸡肉
chimney_syst;烟囱系统
chlorine;氯
chocolate;圣诞巧克力
clothes;服装
clothes_c;服装
coal;煤
coconut_milk;椰奶
coconut_oil;椰子油
comp_process;电脑处理器
concen_juice;浓缩果汁
concr_beams2;钢筋混凝土梁
concr_beams;钢筋混凝土梁
concr_cent;混凝土拱架
concr_stair;混凝土楼梯
concrete;混凝土
condensator;工业凝结器
cont_trees;集装箱树木
contamin;污染的材料
copp_rf_gutt;铜制屋顶排水沟
corks;软木
cott_cheese;干酪
cut_flowers;鲜花
cyanide;氰化物
desinfection;消毒剂
diesel;柴油
diesel_gen;柴油发电机组
digger500;500型装载机
digger1000;1000型装载机
diggers;装载机
dozer;推土机Z35K
driller;钻孔机D50
dryers;烘干机
drymilk;奶粉
dynamite;炸药
elect_wiring;电线
electronics;电子元件
emp_wine_bar;空油桶
emp_wine_bot;空酒瓶
empty_barr;空油桶
empty_palet;空托盘
emptytank;储液罐
excav_soil;工程渣土
excavator;挖掘机
ex_bucket;挖掘机铲斗
exhausts_c;排气系统
explosives;炸药
fertilizer;肥料
fireworks;烟花
fish_chips;鱼柳
floorpanels;地板
flour;面粉
fluorine;氟
forklifts;叉车
fresh_fish;鲜鱼
froz_octopi;冷藏章鱼
frozen_hake;冷冻鳕鱼
frsh_herbs;鲜香草
fuel_oil;燃油
fuel_tanks;油罐
fueltanker;油罐车
furniture;家具
garlic;大蒜
glass;玻璃板
glass_packed;已包装玻璃
gnocchi;团子
goat_cheese;山羊奶酪
granite_cube;花岗岩
grapes;葡萄
graph_grease;石墨润滑脂
grass_rolls;草卷
gravel;碎石
guard_rails;护栏
gummy_bears;橡胶熊
harvest_bins;收集箱
hchemicals;热化工产品
heat_exch;换热器
helicopter;直升机Ring429
hi_volt_cabl;高压电缆
hipresstank;高压罐
hmetal;重金属
honey;蜂蜜
hwaste;医疗废物
hydrochlor;盐酸
hydrogen;氢
ibc_cont;IBC集装箱
icecream;冰淇淋
iced_coffee;罐装冰咖啡
iron_pipes;铁管
iveco_vans;布雷科货车
kerosene;煤油
ketchup;番茄酱
